H0,100.000
K0,K1,K2
A,129.676,538.599
B,124.471,526.233

K0,115.127,539.431,109.034
P1,114.088,494.057,114.715
P2,112.894,503.468,117.286
P3,109.865,503.930,113.681
P4,106.973,513.367,114.693
P5,108.671,528.286,111.479
P6,111.222,543.750,116.038
P7,106.782,542.422,117.165
P8,107.528,557.860,110.731
P9,107.512,571.695,112.202
P10,108.594,583.493,116.048
P11,133.965,496.081,119.263
P12,130.746,503.017,115.935
P13,129.676,515.351,115.346
P14,125.627,519.425,106.836
P15,125.315,535.408,110.968
P16,124.510,538.599,111.859
P17,128.807,556.987,114.771
P18,129.166,560.247,117.214
P19,129.022,578.168,113.896
P20,124.471,581.825,110.442
P21,119.326,592.430,111.942
P22,134.250,500.008,112.335
P23,129.711,499.069,109.855
P24,127.662,511.978,116.172
P25,123.900,518.978,121.121
P26,126.069,526.233,107.383
P27,124.760,544.297,116.935
P28,129.463,553.030,119.747
P29,126.015,561.898,107.337
P30,124.420,575.795,117.051
P31,125.379,577.735,116.230
P32,151.508,512.624,119.252
P33,149.820,520.718,117.089
P34,150.846,524.611,118.357
P35,151.397,540.643,113.277
P36,150.590,552.700,118.617
P37,153.910,558.704,111.203
P38,151.720,566.758,108.178
P39,155.494,578.137,117.593
P40,152.774,587.563,114.054
P41,160.883,509.240,114.643
P42,164.417,522.890,114.061
P43,165.954,531.585,113.561
P44,163.494,548.685,116.792
P45,165.107,554.560,114.463
P46,165.115,553.515,110.923
P47,166.472,566.898,111.816
P48,165.274,582.746,111.362
P49,163.755,589.341,111.524
P50,172.215,489.588,123.890
P51,171.024,505.216,113.121
P52,165.066,503.693,113.825
P53,165.639,519.904,112.546
P54,163.399,534.197,121.957
P55,164.828,540.653,115.219
P56,166.571,550.695,113.852
P57,160.598,557.982,112.977
P58,159.880,567.496,113.403
P59,161.911,585.037,111.783
P60,160.210,590.400,116.152
P61,164.189,602.832,112.384
P62,181.622,491.954,119.346
P63,183.045,510.095,119.270
P64,186.795,510.945,118.585
P65,191.609,520.481,117.357
P66,194.065,541.022,115.233
P67,199.968,548.996,116.263
P68,200.743,559.563,116.212
P69,197.694,563.743,117.340
P70,197.767,582.200,111.610
P71,194.041,586.547,116.015
P72,187.747,594.569,115.638
P73,187.257,595.846,108.988
P74,187.711,614.954,106.259
P75,210.085,504.429,119.696
P76,211.272,509.331,113.856
P77,208.940,515.829,117.439
P78,203.787,529.543,111.886
P79,201.483,541.693,114.087
P80,197.455,543.232,110.476
P81,201.137,554.978,117.353
P82,202.065,566.482,118.629
P83,203.019,574.844,117.658
P84,209.250,594.554,116.996
P85,205.218,601.320,113.160
P86,202.791,607.089,114.697
P87,216.846,502.556,115.786
P88,218.041,506.052,112.285
P89,214.482,516.023,117.496
P90,218.246,534.724,118.057
P91,216.744,542.502,113.738
P92,216.160,549.609,114.485
P93,214.664,563.459,114.855
P94,213.607,569.313,116.101
P95,215.355,577.981,109.280
P96,210.510,586.786,113.838
P97,209.099,601.889,112.785
P98,210.377,604.884,117.281
P99,219.652,506.696,112.270
P100,220.903,519.329,118.572
P101,215.883,527.310,113.585
P102,215.627,542.881,121.350
P103,216.289,552.610,110.112
P104,220.571,564.540,116.481
P105,218.831,572.614,116.498
P106,220.751,573.650,110.841
P107,224.603,599.757,117.522
P108,220.336,604.493,111.017
P109,222.136,619.114,116.237
K1,239.947,566.046,113.483
Q1,247.081,506.140,117.865
Q2,246.618,523.688,112.884
Q3,247.010,529.198,120.421
Q4,251.406,542.059,117.288
Q5,253.226,549.578,117.340
Q6,256.622,559.952,106.599
Q7,259.210,577.011,116.202
Q8,258.947,582.574,115.775
Q9,258.881,589.329,116.955
Q10,260.363,604.953,115.080
Q11,263.282,618.958,116.886
Q12,264.975,621.238,116.346
Q13,259.030,511.671,119.997
Q14,262.121,525.578,117.704
Q15,264.442,538.448,114.366
Q16,265.210,544.528,113.520
Q17,265.855,559.628,108.157
Q18,267.877,563.172,107.341
Q19,266.571,576.117,110.166
Q20,272.629,592.574,119.635
Q21,278.025,609.421,119.810
Q22,278.719,612.197,116.107
Q23,277.333,626.990,113.491
Q24,277.513,630.189,111.405
Q25,263.321,519.244,115.492
Q26,267.187,531.325,114.097
Q27,266.235,540.279,106.473
Q28,268.176,549.441,114.542
Q29,275.362,566.966,120.086
Q30,274.294,569.703,115.412
Q31,275.462,577.019,109.916
Q32,279.447,596.826,115.633
Q33,282.172,607.991,113.418
Q34,283.565,620.359,114.972
Q35,286.439,628.102,114.387
Q36,285.158,631.863,113.900
Q37,268.461,540.909,113.660
Q38,270.989,544.861,107.853
Q39,273.588,562.151,113.828
Q40,273.795,569.469,109.448
Q41,275.856,584.571,108.531
Q42,279.885,593.214,110.948
Q43,281.116,600.754,114.291
Q44,286.638,616.011,117.393
Q45,283.892,619.740,110.389
Q46,276.562,532.174,103.505
Q47,278.716,539.164,109.973
Q48,279.346,552.980,117.839
Q49,279.814,563.607,108.483
Q50,282.791,570.929,106.779
Q51,286.665,588.094,113.135
Q52,286.636,593.161,103.638
Q53,289.226,615.824,114.716
Q54,291.902,621.051,105.620
Q55,291.679,634.243,115.232
Q56,292.998,643.338,114.810
Q57,283.924,526.142,114.279
Q58,286.770,532.422,105.073
Q59,287.715,547.665,105.275
Q60,287.651,559.193,105.851
Q61,290.563,568.071,114.352
Q62,293.272,586.339,115.535
Q63,293.098,590.900,106.116
Q64,295.706,597.954,110.268
Q65,297.635,608.367,104.883
Q66,300.682,628.216,110.030
Q67,303.742,640.780,114.286
Q68,303.462,642.293,109.928
Q69,303.708,645.858,106.447
Q70,286.916,531.942,113.681
Q71,291.049,536.601,115.073
Q72,294.048,546.723,111.719
Q73,296.607,566.443,109.109
Q74,299.419,577.275,101.841
Q75,305.192,589.707,107.217
